team_name,year,wins,losses,ties,win_pct,avg_yards_play,opp_avg_yards_play,avg_yards_game,opp_avg_yards_game,avg_rush_yards_game,avg_pass_yards_game,tds_scored,opp_tds_scored,interceptions_thrown,sacks_taken,total_penalties,sacks,interceptions,efficiency_differential,scoring_efficiency,rush_yard_share,pass_yard_share,offensive_balance_score,td_differential,discipline_score,success_tier,efficiency_group,offensive_identity
CSU Pueblo,2025,10,2,0,0.8333,5.9,4.7,443.3,323.3,145.3,297.92,59.0,33.0,17.0,18.0,96.0,33.0,7.0,1.2,0.13309271373787502820,0.32782816659898019042,0.67217183340101980958,0.34434366680203961916,26.0,131.0,Successful,Strong Positive Differential,Pass Heavy
CSU Pueblo,2024,10,2,0,0.8333,7.2,4.4,462.3,332.4,153.8,308.5,63.0,30.0,15.0,15.0,123.0,40.0,8.0,2.8,0.13627514600908500973,0.33268440406662340472,0.66731559593337659528,0.33463119186675319056,33.0,153.0,Successful,Strong Positive Differential,Pass Heavy
CSU Pueblo,2023,8,3,0,0.7273,6.7,4.8,446.3,330.7,156.5,289.73,63.0,33.0,13.0,10.0,92.0,36.0,8.0,1.9,0.14116065426842930764,0.35071599847612217915,0.64928400152387782085,0.29856800304775564170,30.0,115.0,Successful,Strong Positive Differential,Pass Heavy
CSU Pueblo,2022,8,4,0,0.6667,6.4,4.8,423.3,321.7,154.6,268.75,58.0,35.0,19.0,41.0,92.0,27.0,6.0,1.6,0.13701866288684148358,0.36518247313097909531,0.63481752686902090469,0.26963505373804180938,23.0,152.0,Average,Strong Positive Differential,Pass Heavy
CSU Pueblo,2021,6,5,0,0.5455,5.6,4.4,359.5,307.6,141.5,217.91,39.0,25.0,12.0,23.0,80.0,32.0,6.0,1.2,0.10848400556328233658,0.39370078740157480315,0.60629921259842519685,0.21259842519685039370,14.0,115.0,Average,Strong Positive Differential,Pass Heavy
CSU Pueblo,2019,11,2,0,0.8462,5.5,4.2,359.0,296.1,170.5,188.46,54.0,26.0,30.0,26.0,89.0,48.0,6.0,1.3,0.15041782729805013928,0.47498328504568754179,0.52501671495431245821,0.05003342990862491642,28.0,145.0,Successful,Strong Positive Differential,Balanced
CSU Pueblo,2018,11,2,0,0.8462,5.8,3.5,409.8,241.8,250.8,159.0,59.0,22.0,6.0,25.0,89.0,52.0,28.0,2.3,0.14397266959492435334,0.61200585651537335286,0.38799414348462664714,0.22401171303074670572,37.0,120.0,Successful,Strong Positive Differential,Run Heavy
CSU Pueblo,2017,9,3,0,0.7500,5.9,4.1,385.4,270.3,180.9,204.5,56.0,21.0,10.0,16.0,97.0,27.0,23.0,1.8,0.14530358069538142190,0.46938245978204462896,0.53061754021795537104,0.06123508043591074208,35.0,123.0,Successful,Strong Positive Differential,Balanced
CSU Pueblo,2016,8,3,0,0.7273,5.9,4.6,380.4,305.9,195.8,184.55,46.0,25.0,12.0,18.0,70.0,19.0,14.0,1.3,0.12092534174553101998,0.51478901012225581701,0.48521098987774418299,0.02957802024451163402,21.0,100.0,Successful,Strong Positive Differential,Balanced
CSU Pueblo,2015,12,2,0,0.8571,6.8,4.4,416.0,308.8,291.0,125.0,68.0,28.0,12.0,19.0,95.0,42.0,24.0,2.4,0.16346153846153846154,0.69951923076923076923,0.30048076923076923077,0.39903846153846153846,40.0,126.0,Successful,Strong Positive Differential,Run Heavy
Colorado Mines,2025,7,4,0,0.6364,6.4,5.8,450.9,388.2,234.8,216.09,51.0,39.0,9.0,18.0,70.0,24.0,4.0,0.6,0.11310711909514304724,0.52074785424382887179,0.47925214575617112821,0.04149570848765774358,12.0,97.0,Average,Slight Positive Differential,Balanced
Colorado Mines,2024,8,3,0,0.7273,7.3,5.0,482.7,318.5,202.2,280.55,57.0,29.0,7.0,32.0,101.0,25.0,11.0,2.3,0.11808576755748912368,0.41885033661315380632,0.58114966338684619368,0.16229932677369238736,28.0,140.0,Successful,Strong Positive Differential,Pass Heavy
Colorado Mines,2023,14,1,0,0.9333,7.4,4.4,508.7,267.1,204.7,304.0,97.0,26.0,17.0,32.0,101.0,46.0,7.0,3.0,0.19068213092195793198,0.40239827010025555337,0.59760172989974444663,0.19520345979948889326,71.0,150.0,Successful,Strong Positive Differential,Pass Heavy
Colorado Mines,2022,13,3,0,0.8125,6.7,4.8,467.0,311.1,152.6,314.44,97.0,38.0,15.0,35.0,87.0,71.0,8.0,1.9,0.20770877944325481799,0.32673860911270983213,0.67326139088729016787,0.34652278177458033574,59.0,137.0,Successful,Strong Positive Differential,Pass Heavy
Colorado Mines,2021,12,2,0,0.8571,5.6,4.8,409.3,311.8,176.7,232.57,76.0,25.0,17.0,45.0,58.0,52.0,8.0,0.8,0.18568287319814317127,0.43174432526205194615,0.56825567473794805385,0.13651134947589610770,51.0,120.0,Successful,Slight Positive Differential,Balanced
Colorado Mines,2019,12,1,0,0.9231,6.6,4.6,488.2,285.0,251.5,236.69,73.0,28.0,11.0,29.0,87.0,39.0,5.0,2.0,0.14952888160589922163,0.51516827464716606239,0.48483172535283393761,0.03033654929433212478,45.0,127.0,Successful,Strong Positive Differential,Balanced
Colorado Mines,2018,10,2,0,0.8333,7.2,5.2,556.8,373.3,224.9,331.92,79.0,41.0,12.0,18.0,84.0,30.0,12.0,2.0,0.14188218390804597701,0.40390072195682626342,0.59609927804317373658,0.19219855608634747316,38.0,114.0,Successful,Strong Positive Differential,Pass Heavy
Colorado Mines,2017,7,4,0,0.6364,6.6,5.4,469.5,393.3,245.6,223.91,53.0,33.0,7.0,16.0,65.0,25.0,12.0,1.2,0.11288604898828541001,0.52309854955166024153,0.47690145044833975847,0.04619709910332048306,20.0,88.0,Average,Strong Positive Differential,Balanced
Colorado Mines,2016,10,3,0,0.7692,7.1,6.1,566.8,422.0,207.0,359.85,88.0,49.0,10.0,18.0,61.0,32.0,18.0,1.0,0.15525758645024700071,0.36517597247949192908,0.63482402752050807092,0.26964805504101614184,39.0,89.0,Successful,Strong Positive Differential,Pass Heavy
Colorado Mines,2015,8,3,0,0.7273,6.4,5.8,542.2,407.5,176.9,365.27,66.0,39.0,8.0,14.0,68.0,30.0,10.0,0.6,0.12172630025820730358,0.32628142464540642234,0.67371857535459357766,0.34743715070918715532,27.0,90.0,Successful,Slight Positive Differential,Pass Heavy
