year,team_count,avg_rush_yards_game,avg_pass_yards_game,avg_total_yards_game,avg_yards_play,avg_tds_scored,avg_third_down_conv,avg_fourth_down_conv,avg_penalty_yards_game,avg_opp_yards_play,avg_opp_yards_game,avg_opp_tds_scored,rush_yard_share,pass_yard_share,yoy_rush_yards_game_change,yoy_pass_yards_game_change,yoy_efficiency_change,yoy_scoring_change,yoy_rush_share_change,yoy_pass_share_change
2015,4,225.6750000000000000,238.9975000000000000,464.6750000000000000,6.3750000000000000,57.7500000000000000,0.38815000000000000000,0.35582500000000000000,69.0550000000000000,5.3750000000000000,402.1250000000000000,34.5000000000000000,0.48566463476964959192,0.51433536523035040808,,,,,,
2016,4,217.6750000000000000,252.0150000000000000,469.6750000000000000,6.5500000000000000,59.5000000000000000,0.45655000000000000000,0.50840000000000000000,63.7125000000000000,5.3250000000000000,380.3750000000000000,37.0000000000000000,0.46344397368477080628,0.53655602631522919372,-8.0000000000000000,13.0175000000000000,0.1750000000000000,1.7500000000000000,-0.02222066108487878564,0.02222066108487878564
2017,4,194.9000000000000000,203.2375000000000000,398.1500000000000000,5.8500000000000000,48.5000000000000000,0.40192500000000000000,0.43967500000000000000,70.7100000000000000,5.0500000000000000,372.4000000000000000,35.7500000000000000,0.48952937113434429060,0.51047062886565570940,-22.7750000000000000,-48.7775000000000000,-0.7000000000000000,-11.0000000000000000,0.02608539744957348432,-0.02608539744957348432
2018,4,202.1500000000000000,232.4800000000000000,434.6250000000000000,5.7000000000000000,54.7500000000000000,0.39255000000000000000,0.53547500000000000000,66.4800000000000000,5.1000000000000000,374.4000000000000000,39.7500000000000000,0.46510825299680187746,0.53489174700319812254,7.2500000000000000,29.2425000000000000,-0.1500000000000000,6.2500000000000000,-0.02442111813754241314,0.02442111813754241314
2019,4,176.3500000000000000,205.6750000000000000,382.0500000000000000,5.3000000000000000,52.2500000000000000,0.38385000000000000000,0.48992499999999997500,68.1525000000000000,4.8000000000000000,334.9000000000000000,34.7500000000000000,0.46161900399188534782,0.53838099600811465218,-25.8000000000000000,-26.8050000000000000,-0.4000000000000000,-2.5000000000000000,-0.00348924900491652964,0.00348924900491652964
2021,4,174.2250000000000000,228.1825000000000000,402.4250000000000000,5.8250000000000000,53.2500000000000000,0.38312500000000000000,0.55137500000000000000,58.4475000000000000,4.3750000000000000,294.5500000000000000,23.7500000000000000,0.43295664220970036592,0.56704335779029963408,-2.1250000000000000,22.5075000000000000,0.5250000000000000,1.0000000000000000,-0.02866236178218498190,0.02866236178218498190
2022,4,147.9000000000000000,278.1400000000000000,426.0000000000000000,6.1000000000000000,61.5000000000000000,0.40910000000000000000,0.58415000000000000000,63.6775000000000000,4.9500000000000000,346.5750000000000000,37.7500000000000000,0.34715050230025349732,0.65284949769974650268,-26.3250000000000000,49.9575000000000000,0.2750000000000000,8.2500000000000000,-0.08580613990944686860,0.08580613990944686860
2023,4,166.0250000000000000,255.5150000000000000,421.5500000000000000,6.3500000000000000,64.2500000000000000,0.43742500000000000000,0.42360000000000000000,67.8900000000000000,4.6500000000000000,316.3750000000000000,31.0000000000000000,0.39385348958580443137,0.60614651041419556863,18.1250000000000000,-22.6250000000000000,0.2500000000000000,2.7500000000000000,0.04670298728555093405,-0.04670298728555093405
2024,4,172.9500000000000000,249.5900000000000000,422.5250000000000000,6.4250000000000000,53.0000000000000000,0.42305000000000000000,0.48602500000000000000,69.9475000000000000,4.6000000000000000,300.4000000000000000,28.5000000000000000,0.40931036114924030861,0.59068963885075969139,6.9250000000000000,-5.9250000000000000,0.0750000000000000,-11.2500000000000000,0.01545687156343587724,-0.01545687156343587724
2025,4,186.9000000000000000,238.9425000000000000,425.8750000000000000,6.1250000000000000,54.7500000000000000,0.42777500000000002500,0.56922500000000000000,56.9425000000000000,5.3250000000000000,353.5500000000000000,34.2500000000000000,0.43889466175874883320,0.56110533824125116680,13.9500000000000000,-10.6475000000000000,-0.3000000000000000,1.7500000000000000,0.02958430060950852459,-0.02958430060950852459
