team,year,wins,losses,ties,win_pct,rush_yards,rush_yards_gained,rush_yards_lost,rush_attempts,avg_rush_yards_attempt,avg_rush_yards_game,rush_tds,pass_attempts,avg_pass_yards_attempt,avg_pass_yards_game,pass_tds,total_offensive_plays,avg_yards_play,avg_yards_game,interceptions_thrown,third_down_conv,fourth_down_conv,sacks_taken,tds_scored,time_of_possession_game_min,total_penalties,avg_penalty_yards_game,opp_rush_yards,opp_rush_yards_gained,opp_rush_yards_lost,opp_rush_attempts,opp_avg_rush_yards_attempt,opp_avg_rush_yards_game,opp_rush_tds,opp_pass_attempts,opp_avg_pass_yards_attempt,opp_avg_pass_yards_game,opp_pass_tds,total_defensive_plays,opp_avg_yards_play,opp_avg_yards_game,interceptions,opp_third_down_conv,opp_fourth_down_conv,sacks,opp_tds_scored,opp_time_of_possession_game_min,opp_total_penalties,opp_avg_penalty_yards_game
Colorado Mesa,2017,9,2,0,0.8181818181818182,2836.0,3141.0,305.0,475.0,6.0,257.8,41.0,269.0,9.46,231.45,21.0,744.0,7.2,489.3,11.0,0.4143,0.4143,17.0,70.0,24.03,92.0,81.36,1368.0,1682.0,314.0,417.0,3.3,124.4,12.0,520.0,6.41,302.82,22.0,937.0,5.0,427.2,13.0,0.3865,0.3865,21.0,36.0,35.07,76.0,67.36
Colorado Mesa,2018,7,4,0,0.6363636363636364,2308.0,2684.0,376.0,538.0,4.3,209.8,26.0,381.0,7.95,275.36,21.0,919.0,5.8,485.2,13.0,0.4278,0.5217,32.0,50.0,30.93333333333333,83.0,66.18,2019.0,2257.0,238.0,394.0,5.1,183.5,24.0,433.0,7.27,286.09,27.0,827.0,6.2,469.6,11.0,0.3931,0.2632,18.0,51.0,29.23333333333333,78.0,66.45
Colorado Mesa,2019,6,5,0,0.5454545454545454,1866.0,2176.0,310.0,463.0,4.0,169.6,21.0,334.0,6.69,203.0,21.0,797.0,5.1,372.6,16.0,0.3728,0.5832999999999999,29.0,50.0,28.16666666666667,87.0,70.91,2294.0,2634.0,340.0,475.0,4.8,208.5,23.0,373.0,5.98,202.91,16.0,848.0,5.3,411.5,13.0,0.3295,0.375,34.0,46.0,31.83333333333333,76.0,64.18
Colorado Mesa,2021,8,2,0,0.8,1946.0,2287.0,341.0,378.0,5.1,194.6,24.0,311.0,8.28,257.5,19.0,689.0,6.6,452.1,9.0,0.3942,0.375,32.0,43.0,30.63333333333333,77.0,72.7,1089.0,1377.0,288.0,383.0,2.8,108.9,4.0,314.0,4.72,148.1,14.0,697.0,3.7,257.0,4.0,0.3313,0.4286,27.0,19.0,30.53333333333333,52.0,51.6
Colorado Mesa,2022,4,6,0,0.4,1320.0,1622.0,302.0,357.0,3.7,132.0,20.0,387.0,7.88,305.1,24.0,744.0,5.9,437.1,1.0,0.4126,0.45,35.0,48.0,28.03333333333333,73.0,79.3,1187.0,1507.0,320.0,388.0,3.1,118.7,15.0,347.0,7.7,267.3,22.0,735.0,5.3,386.0,14.0,0.3631,0.52,28.0,42.0,31.86666666666667,64.0,58.0
Colorado Mesa,2023,6,5,0,0.5454545454545454,1390.0,1683.0,293.0,337.0,4.1,126.4,20.0,302.0,7.43,203.91,16.0,639.0,5.7,330.3,14.0,0.3212,0.5,30.0,41.0,25.11666666666667,92.0,75.73,1698.0,1971.0,273.0,430.0,3.9,154.4,12.0,392.0,6.54,233.0,25.0,822.0,5.2,387.4,16.0,0.3892,0.3077,28.0,42.0,34.83333333333334,82.0,73.45
Colorado Mesa,2024,7,4,0,0.6363636363636364,1822.0,2102.0,280.0,428.0,4.3,165.6,16.0,268.0,6.61,161.0,13.0,696.0,5.2,326.6,12.0,0.3775,0.4348,18.0,33.0,30.9,79.0,64.82,1426.0,1706.0,280.0,403.0,3.5,129.6,14.0,259.0,5.1,120.18,7.0,662.0,4.2,249.8,11.0,0.2925,0.625,29.0,23.0,28.81666666666667,75.0,59.64
Colorado Mesa,2025,6,5,0,0.5454545454545454,2386.0,2554.0,168.0,424.0,5.6,216.9,24.0,282.0,7.35,188.45,19.0,706.0,6.3,405.4,9.0,0.4589,0.7333,8.0,45.0,30.3,69.0,53.55,1808.0,1997.0,189.0,404.0,4.5,164.4,12.0,297.0,7.75,209.27,24.0,701.0,5.9,373.6,9.0,0.4154,0.9231,11.0,37.0,29.7,58.0,49.55
Colorado Mines,2015,8,3,0,0.7272727272727273,1946.0,2143.0,197.0,471.0,4.1,176.9,25.0,459.0,8.75,365.27,39.0,930.0,6.4,542.2,8.0,0.4444,0.4444,14.0,66.0,30.28,68.0,61.55,1986.0,2332.0,346.0,418.0,4.8,180.5,19.0,356.0,7.01,227.0,18.0,774.0,5.8,407.5,10.0,0.3292,0.3292,30.0,39.0,29.72,77.0,63.73
Colorado Mines,2016,10,3,0,0.7692307692307693,2691.0,2941.0,250.0,514.0,5.2,207.0,33.0,525.0,8.91,359.85,53.0,1039.0,7.1,566.8,10.0,0.5744,0.5744,18.0,88.0,29.83,61.0,42.46,1974.0,2312.0,338.0,467.0,4.2,151.8,20.0,438.0,8.02,270.15,28.0,905.0,6.1,422.0,18.0,0.3956,0.3956,32.0,49.0,30.17,74.0,48.15
Colorado Mines,2017,7,4,0,0.6363636363636364,2702.0,2905.0,203.0,480.0,5.6,245.6,32.0,307.0,8.02,223.91,19.0,787.0,6.6,469.5,7.0,0.4713,0.4713,16.0,53.0,29.82,65.0,54.91,1499.0,1747.0,248.0,393.0,3.8,136.3,16.0,404.0,7.0,257.0,17.0,797.0,5.4,393.3,12.0,0.4337,0.4337,25.0,33.0,30.07,70.0,52.36
Colorado Mines,2018,10,2,0,0.8333333333333334,2699.0,2963.0,264.0,487.0,5.5,224.9,36.0,445.0,8.95,331.92,39.0,932.0,7.2,556.8,12.0,0.4793,0.5217,18.0,79.0,31.06666666666667,84.0,72.83,1213.0,1538.0,325.0,377.0,3.2,101.1,9.0,484.0,6.75,272.17,28.0,861.0,5.2,373.3,12.0,0.3351,0.3871,30.0,41.0,27.66666666666667,70.0,51.0
Colorado Mines,2019,12,1,0,0.9230769230769231,3269.0,3587.0,318.0,569.0,5.7,251.5,40.0,388.0,7.93,236.69,30.0,957.0,6.6,488.2,11.0,0.4425,0.4583,29.0,73.0,33.46666666666667,87.0,67.69,1037.0,1465.0,428.0,382.0,2.7,79.8,10.0,427.0,6.25,205.23,18.0,809.0,4.6,285.0,5.0,0.2431,0.4815,39.0,28.0,26.51666666666667,78.0,55.54
Colorado Mines,2021,12,2,0,0.8571428571428571,2474.0,2863.0,389.0,618.0,4.0,176.7,34.0,398.0,8.18,232.57,40.0,1016.0,5.6,409.3,17.0,0.4235,0.6857,45.0,76.0,32.71666666666667,58.0,45.71,1465.0,1945.0,480.0,445.0,3.3,104.6,7.0,457.0,6.35,207.14,17.0,902.0,4.8,311.8,8.0,0.2902,0.3143,52.0,25.0,27.16666666666667,75.0,53.71
Colorado Mines,2022,13,3,0,0.8125,2441.0,2736.0,295.0,569.0,4.3,152.6,39.0,548.0,9.18,314.44,53.0,1117.0,6.7,467.0,15.0,0.4444,0.7241,35.0,97.0,29.73333333333333,87.0,50.63,1489.0,2215.0,726.0,551.0,2.7,93.1,19.0,495.0,7.05,218.0,18.0,1046.0,4.8,311.1,8.0,0.303,0.3143,71.0,38.0,29.38333333333333,73.0,43.06
Colorado Mines,2023,14,1,0,0.9333333333333333,3070.0,3400.0,330.0,525.0,5.8,204.7,49.0,504.0,9.05,304.0,46.0,1029.0,7.4,508.7,17.0,0.5587,0.5,32.0,97.0,31.1,101.0,66.07,1393.0,1970.0,577.0,435.0,3.2,92.9,13.0,472.0,5.54,174.27,13.0,907.0,4.4,267.1,7.0,0.2764,0.4737,46.0,26.0,28.66666666666667,69.0,45.53
Colorado Mines,2024,8,3,0,0.7272727272727273,2224.0,2444.0,220.0,381.0,5.8,202.2,27.0,351.0,8.79,280.55,27.0,732.0,7.3,482.7,7.0,0.5217,0.5385,32.0,57.0,29.46666666666667,101.0,77.27,1136.0,1425.0,289.0,342.0,3.3,103.3,8.0,360.0,6.58,215.18,20.0,702.0,5.0,318.5,11.0,0.2808,0.3684000000000001,25.0,29.0,30.51666666666667,56.0,41.82
Colorado Mines,2025,7,4,0,0.6363636363636364,2583.0,2797.0,214.0,449.0,5.8,234.8,21.0,330.0,7.2,216.09,29.0,779.0,6.4,450.9,9.0,0.4094,0.4667,18.0,51.0,31.9,70.0,56.64,1967.0,2197.0,230.0,380.0,5.2,178.8,18.0,352.0,6.54,209.36,21.0,732.0,5.8,388.2,4.0,0.3617,0.4706,24.0,39.0,28.1,74.0,56.27
Western Colorado,2015,4,7,0,0.36363636363636365,2324.0,2564.0,240.0,399.0,5.8,211.3,23.0,421.0,7.06,270.27,25.0,820.0,6.5,481.5,6.0,0.3647,0.3647,21.0,51.0,26.43,77.0,63.55,2536.0,2755.0,219.0,500.0,5.1,230.5,22.0,428.0,7.25,282.09,26.0,928.0,6.1,512.6,14.0,0.4211,0.4211,14.0,49.0,33.57,95.0,94.18
Western Colorado,2016,7,4,0,0.6363636363636364,2493.0,2658.0,165.0,440.0,5.7,226.6,23.0,278.0,7.83,197.91,18.0,718.0,6.5,424.5,8.0,0.4357,0.4357,13.0,43.0,31.83,72.0,74.36,1652.0,1949.0,297.0,419.0,3.9,150.2,13.0,356.0,5.89,190.64,10.0,775.0,4.8,340.8,7.0,0.3913,0.3913,23.0,25.0,28.17,74.0,64.09
Western Colorado,2017,1,10,0,0.09090909090909091,1048.0,1392.0,344.0,407.0,2.6,95.3,7.0,332.0,5.07,153.09,5.0,739.0,3.7,248.4,22.0,0.2898,0.2898,35.0,15.0,29.53,66.0,67.82,1967.0,2282.0,315.0,429.0,4.6,178.8,25.0,340.0,7.12,220.0,22.0,769.0,5.7,398.8,7.0,0.3272,0.3272,19.0,53.0,30.47,91.0,72.55
Western Colorado,2018,2,9,0,0.18181818181818182,1354.0,1709.0,355.0,425.0,3.2,123.1,11.0,369.0,4.88,163.64,18.0,794.0,4.0,286.7,9.0,0.3646,0.8,43.0,31.0,32.41666666666666,71.0,56.45,1675.0,2052.0,377.0,423.0,4.0,152.3,18.0,407.0,7.04,260.64,22.0,830.0,5.5,412.9,13.0,0.3988,0.32,29.0,45.0,30.3,76.0,64.09
Western Colorado,2019,5,6,0,0.45454545454545453,1252.0,1681.0,429.0,460.0,2.7,113.8,12.0,381.0,5.62,194.55,16.0,841.0,4.0,308.4,13.0,0.3704,0.4444,43.0,32.0,33.36666666666667,73.0,68.55,1324.0,1634.0,310.0,374.0,3.5,120.4,11.0,376.0,6.63,226.64,22.0,750.0,5.1,347.0,14.0,0.3253,0.5,26.0,39.0,27.78333333333333,99.0,90.82
Western Colorado,2021,10,2,0,0.8333333333333334,2209.0,2480.0,271.0,502.0,4.4,184.1,12.0,344.0,7.14,204.75,16.0,846.0,5.5,388.8,6.0,0.3929,0.6154,28.0,55.0,30.25,60.0,47.83,1217.0,1665.0,448.0,416.0,2.9,101.4,11.0,376.0,6.4,200.42,22.0,792.0,4.6,301.8,9.0,0.3068,0.375,47.0,26.0,29.4,93.0,70.92
Western Colorado,2022,7,4,0,0.6363636363636364,1676.0,1945.0,269.0,415.0,4.0,152.4,12.0,350.0,7.05,224.27,16.0,765.0,5.4,376.6,11.0,0.4121,0.5625,24.0,43.0,27.83333333333333,55.0,50.45,1487.0,1834.0,347.0,446.0,3.3,135.2,11.0,375.0,6.82,232.36,22.0,821.0,4.9,367.5,13.0,0.3543,0.4857,35.0,36.0,31.25,77.0,62.73
Western Colorado,2023,10,2,0,0.8333333333333334,2118.0,2353.0,235.0,467.0,4.5,176.5,12.0,386.0,6.98,224.42,16.0,853.0,5.6,400.9,12.0,0.4341,0.4444,19.0,56.0,30.76666666666667,72.0,54.67,1309.0,1658.0,349.0,387.0,3.4,109.1,11.0,407.0,5.05,171.17,22.0,794.0,4.2,280.3,7.0,0.3105,0.4167,34.0,23.0,28.56666666666667,97.0,69.83
Western Colorado,2024,11,2,0,0.8461538461538461,2212.0,2533.0,321.0,497.0,4.5,170.2,12.0,414.0,7.8,248.31,16.0,911.0,6.0,418.5,17.0,0.4368,0.4375,29.0,59.0,32.06666666666667,83.0,53.62,1141.0,1548.0,407.0,366.0,3.1,87.8,11.0,452.0,6.13,213.15,22.0,818.0,4.8,300.9,7.0,0.2967,0.4138,43.0,32.0,27.83333333333333,95.0,53.46
Western Colorado,2025,10,3,0,0.7692307692307693,1958.0,2180.0,222.0,466.0,4.2,150.6,12.0,417.0,7.9,253.31,16.0,883.0,5.9,403.9,9.0,0.3977000000000001,0.5769,22.0,64.0,30.6,73.0,49.0,1305.0,1785.0,480.0,430.0,3.0,100.4,11.0,445.0,6.68,228.69,22.0,875.0,4.9,329.1,7.0,0.3386,0.2667,38.0,28.0,29.3,83.0,56.31
